lat,lon,time,Total,Transformative,Incremental
48.77851868,-113.1877289,1,0.283213,0.092309654,0.19090335
48.77851868,-112.9182281,1,0.26469836,0.057096034,0.20760232
48.77851868,-112.648735,1,0.2742392,0.045751583,0.22848763
48.77851868,-112.3792419,1,0.2953103,0.026057253,0.26925305
48.77851868,-112.1097488,1,0.2532829,0.031321134,0.22196177
48.77851868,-111.8402557,1,0.18733273,0.036187198,0.15114553
48.77851868,-111.570755,1,0.12508802,0.020904068,0.10418396
48.77851868,-111.3012619,1,0.23930214,0.03637084,0.2029313
48.77851868,-111.0317688,1,0.23150006,0.029241782,0.20225827
48.77851868,-110.7622757,1,0.19555286,0.054528344,0.1410245
48.77851868,-110.4927826,1,0.20748313,0.04706769,0.16041544
48.77851868,-110.2232819,1,0.16232799,0.03898837,0.123339616
48.77851868,-109.9537888,1,0.24543107,0.109702535,0.13572852
48.77851868,-109.6842957,1,0.22345653,0.11727374,0.106182784
48.77851868,-109.4148026,1,0.15268536,0.10589219,0.046793174
48.77851868,-109.1453094,1,0.18148458,0.05356672,0.12791787
48.77851868,-108.8758087,1,0.13944559,0.036766205,0.10267938
48.77851868,-108.6063156,1,0.11425829,0.024472585,0.0897857
48.77851868,-108.3368225,1,0.18181193,0.02453463,0.1572773
48.77851868,-108.0673294,1,0.19947132,0.039113525,0.1603578
48.77851868,-107.7978363,1,0.1870488,0.040572282,0.1464765
48.77851868,-107.5283432,1,0.20094006,0.059326075,0.14161398
48.77851868,-107.2588425,1,0.2706346,0.13095188,0.13968271
48.77851868,-106.9893494,1,0.026019983,0.001332223,0.02468776
48.77851868,-106.7198563,1,0.12894584,0.027403649,0.10154219
48.77851868,-106.4503632,1,0.15455694,0.05529397,0.09926297
48.77851868,-106.1808701,1,0.18372491,0.051074155,0.13265075
48.77851868,-105.9113693,1,0.15794928,0.03359124,0.12435805
48.77851868,-105.6418762,1,0.14771663,0.030455932,0.117260695
48.77851868,-105.3723831,1,0.13924813,0.027160667,0.112087466
48.77851868,-105.10289,1,0.17131433,0.035772823,0.1355415
48.77851868,-104.8333969,1,0.14578518,0.029283188,0.116501994
48.77851868,-104.5638962,1,0.10859947,0.020651031,0.087948434
48.77851868,-104.2944031,1,0.18019626,0.03900374,0.14119253
48.77851868,-104.02491,1,0.2349556,0.030826543,0.20412906
48.77851868,-103.7554169,1,0.33090276,0.024956245,0.3059465
48.77851868,-103.4859238,1,0.3629689,0.019564683,0.34340423
48.77851868,-103.216423,1,0.24749006,0.022291623,0.22519845
48.77851868,-102.9469299,1,0.21580078,0.026172733,0.18962805
48.77851868,-102.6774368,1,0.24151067,0.03535618,0.2061545
48.77851868,-102.4079437,1,0.19235095,0.025334464,0.16701649
48.77851868,-102.1384506,1,0.13902931,0.025859471,0.113169834
48.77851868,-101.8689499,1,0.20685743,0.029512467,0.17734496
48.77851868,-101.5994568,1,0.16482481,0.010624864,0.15419994
48.77851868,-101.3299637,1,0.16986185,0.028452061,0.14140978
48.77851868,-101.0604706,1,0.11081042,0.006089652,0.10472077
48.77851868,-100.7909775,1,0.13716297,0.012294496,0.12486848
48.77851868,-100.5214767,1,0.18619034,0.031894542,0.1542958
48.77851868,-100.2519836,1,0.15010469,0.016834771,0.13326992
48.77851868,-99.98249054,1,0.10466645,0.023579584,0.08108686
48.77851868,-99.71299744,1,0.08858345,0.024424596,0.06415885
48.77851868,-99.44350433,1,0.0722494,0.0101435,0.062105898
48.77851868,-99.1740036,1,0.117247045,0.0123492,0.10489784
48.77851868,-98.9045105,1,0.09987555,0.021865029,0.078010514
48.77851868,-98.6350174,1,0.08669475,0.032679863,0.054014888
48.77851868,-98.36552429,1,0.1269177,0.040490497,0.08642721
48.77851868,-98.09603119,1,0.14073738,0.014047844,0.12668954
48.77851868,-97.82653809,1,0.11274082,0.005551757,0.10718907
48.77851868,-97.55703735,1,0.09287544,0.00391733,0.088958114
48.77851868,-97.28754425,1,0.10444361,0.005220575,0.09922303
48.77851868,-97.01805115,1,0.0953932,0.002112998,0.09328021
48.77851868,-96.74855804,1,0.09607643,0.02981137,0.06626506
48.77851868,-96.47906494,1,0.09391402,0.020222038,0.07369198
48.77851868,-96.20956421,1,0.09106815,0.019609416,0.071458735
48.77851868,-95.94007111,1,0.0531602,0.010472511,0.04268769
48.77851868,-95.670578,1,0.05422155,0.008645728,0.04557582
48.77851868,-95.4010849,1,0.07325675,0.006079538,0.067177214
